X,Y,LAT,LON,NAME,AUX1,ESPECIE,icon_url
-7.02591999994283,38.0668000009644,"+4215066.462","+673169.9103","004",24-JUL-13 12:07:19,VV,./0.png
-7.01435999994152,38.0454200009613,"+4212715.555","+674234.7774","005",24-JUL-13 12:07:19,VV,./0.png
-7.01358999994143,38.0448700009612,"+4212655.966","+674303.6541","006",24-JUL-13 12:07:19,VV,./0.png
-7.00915999994088,38.043630000961,"+4212526.683","+674695.3637","007",24-JUL-13 12:07:19,Mustela sp.,./0.png
-7.04685999994524,38.0712800009653,"+4215524.768","+671322.3883","012",24-JUL-13 12:07:19,MF,./0.png
-7.04740999994531,38.0713200009653,"+4215528.192","+671274.0465","013",24-JUL-13 12:07:20,VV,./0.png
-7.05505999994627,38.0443300009617,"+4212519.067","+670665.6526","014",24-JUL-13 12:07:20,VV,./0.png
-7.05523999994629,38.0448200009618,"+4212573.111","+670648.7185","015",24-JUL-13 12:07:20,VV,./0.png
-7.04579999994523,38.0465700009619,"+4212784.684","+671473.0535","016",24-JUL-13 12:07:20,VV,./0.png
-7.04419999994505,38.0454300009617,"+4212661.134","+671616.1225","017",24-JUL-13 12:07:20,VV,./0.png
-7.01551999994163,38.0516300009622,"+4213402.498","+674118.2640",E1,24-JUL-13 12:07:20,VV,./0.png
-7.01302999994131,38.0549200009626,"+4213772.257","+674328.9505",E10,24-JUL-13 12:07:20,VV,./0.png
-7.01094999994104,38.0573200009629,"+4214042.488","+674505.7577",E11,24-JUL-13 12:07:20,Mustela sp.,./0.png
-7.01031999994095,38.0606100009634,"+4214408.761","+674553.2160",E12,24-JUL-13 12:07:21,VV,./0.png
-7.01537999994162,38.0516600009622,"+4213406.090","+674130.4777",E2,24-JUL-13 12:07:21,VV,./0.png
-7.01392999994144,38.0524300009623,"+4213494.255","+674255.8866",E3,24-JUL-13 12:07:21,VV,./0.png
-7.01396999994144,38.0525500009623,"+4213507.496","+674252.0921",E4,24-JUL-13 12:07:21,VV,./0.png
-7.01405999994145,38.0527900009623,"+4213533.960","+674243.6256",E5,24-JUL-13 12:07:21,VV,./0.png
-7.01408999994145,38.0529100009623,"+4213547.220","+674240.7086",E6,24-JUL-13 12:07:21,VV,./0.png
-7.01307999994132,38.0534900009624,"+4213613.477","+674327.9567",E7,24-JUL-13 12:07:21,VV,./0.png
-7.01298999994131,38.0541000009625,"+4213681.337","+674334.4063",E8,24-JUL-13 12:07:21,VV,./0.png
-7.01299999994131,38.0544800009625,"+4213723.486","+674332.6271",E9,24-JUL-13 12:07:21,VV,./0.png
-7.0345099999439,38.0529700009626,"+4213515.779","+672448.7769","001",24-JUL-13 12:19:51,VV,./0.png
-7.03330999994376,38.0528500009626,"+4213504.691","+672554.3547","002",24-JUL-13 12:19:51,VV,./0.png
